student_id,course_id,instructor_id,feedback_score,textual_review,attendance_rate,assignment_submission_rate,quiz_avg_score,exam_avg_score,lms_logins_past_month,avg_session_duration_minutes,forum_participation_count,video_completion_rate,instructor_response_time,risk_level
S1000,MAT204,I003,1.9,The lecture was clear but pace was fast.,70,46,94,62,8,5,12,73,25,High
S1001,PHY110,I020,3.4,Very interactive and engaging class.,73,100,76,100,39,17,7,63,47,Medium
S1002,ECE301,I004,2.1,The lecture was clear but pace was fast.,53,88,87,55,16,34,12,51,13,High
S1003,PHY110,I018,3.6,"Too many assignments, difficult to manage.",61,96,34,71,16,9,15,54,54,Medium
S1004,PHY110,I006,4.3,The lecture was clear but pace was fast.,71,48,34,55,32,22,1,97,46,Medium
S1005,CSE202,I003,4.1,The lecture was clear but pace was fast.,69,92,89,47,19,18,12,68,33,Medium
S1006,ECE301,I011,4.0,Good explanations with real-life examples.,67,80,50,97,13,17,17,73,19,Medium
S1007,ECE301,I015,1.8,The lecture was clear but pace was fast.,50,81,53,77,21,36,2,35,14,High
S1008,ECE301,I005,1.4,"Slides were unclear, needs more clarity.",79,52,47,55,26,11,12,31,5,High
S1009,PHY110,I020,3.8,Very interactive and engaging class.,82,54,50,89,42,12,18,27,24,Low
S1010,MAT204,I010,2.5,Good explanations with real-life examples.,73,93,83,28,2,54,12,40,63,High
S1011,ECE301,I012,2.7,Very interactive and engaging class.,63,44,39,40,23,11,18,67,55,Medium
S1012,PHY110,I015,1.1,Very interactive and engaging class.,85,68,53,83,29,56,3,27,56,High
S1013,CSE202,I017,2.0,"Too many assignments, difficult to manage.",54,74,89,95,7,53,18,47,70,High
S1014,MAT204,I010,1.1,"Too many assignments, difficult to manage.",60,66,86,80,21,20,17,99,41,High
S1015,CSE202,I006,4.5,Good explanations with real-life examples.,73,66,52,59,24,47,5,29,15,Medium
S1016,MAT204,I018,2.0,Great teaching style and support from instructor.,80,47,51,75,9,35,18,71,29,High
S1017,PHY110,I013,3.2,"Average experience, nothing special.",62,71,97,23,48,55,3,34,68,High
S1018,CSE101,I003,1.2,"Too many assignments, difficult to manage.",65,59,63,50,28,31,3,23,30,High
S1019,MAT204,I010,3.7,"Average experience, nothing special.",73,49,99,46,39,37,6,98,62,Medium
S1020,CSE202,I014,2.3,"Too many assignments, difficult to manage.",62,52,57,77,0,57,6,81,69,High
S1021,PHY110,I006,4.6,"Too many assignments, difficult to manage.",73,68,68,44,20,33,15,23,10,Medium
S1022,MAT204,I003,4.6,Very interactive and engaging class.,75,74,71,88,38,12,15,60,18,Low
S1023,CSE101,I016,2.3,Good explanations with real-life examples.,51,100,52,89,23,37,4,92,50,High
S1024,CSE101,I007,4.6,Very interactive and engaging class.,65,93,99,24,8,45,14,74,64,High
S1025,ECE301,I020,5.0,"Slides were unclear, needs more clarity.",87,47,31,27,43,23,3,47,47,High
S1026,ECE301,I014,4.3,Very interactive and engaging class.,95,68,53,28,25,25,12,66,14,High
S1027,CSE202,I009,4.4,"Average experience, nothing special.",50,70,46,34,8,45,18,28,46,High
S1028,MAT204,I015,2.0,"Average experience, nothing special.",98,80,94,26,19,25,6,21,54,High
S1029,MAT204,I003,3.3,"Slides were unclear, needs more clarity.",60,69,99,91,34,29,11,86,18,Medium
S1030,ECE301,I002,1.3,The lecture was clear but pace was fast.,100,61,98,34,35,46,8,67,48,High
S1031,MAT204,I002,1.4,The lecture was clear but pace was fast.,84,60,89,56,41,27,16,88,63,High
S1032,MAT204,I003,5.0,"Slides were unclear, needs more clarity.",92,51,79,58,35,15,1,93,51,Medium
S1033,CSE101,I018,2.3,"Slides were unclear, needs more clarity.",78,50,41,25,8,37,15,47,44,High
S1034,ECE301,I014,4.0,Very interactive and engaging class.,86,41,76,76,21,24,6,98,69,Low
S1035,PHY110,I020,4.2,"Slides were unclear, needs more clarity.",66,89,96,100,0,29,17,33,29,Medium
S1036,ECE301,I018,4.4,Good explanations with real-life examples.,88,80,94,38,4,30,6,65,46,High
S1037,PHY110,I010,5.0,The lecture was clear but pace was fast.,91,41,56,82,8,44,0,32,42,Low
S1038,CSE101,I002,2.0,The lecture was clear but pace was fast.,77,73,77,50,36,56,2,35,37,High
S1039,CSE202,I001,1.2,Great teaching style and support from instructor.,78,42,91,94,37,16,10,59,34,High
S1040,MAT204,I004,2.6,"Slides were unclear, needs more clarity.",92,55,73,98,18,36,14,91,26,Medium
S1041,CSE101,I014,1.5,"Too many assignments, difficult to manage.",52,90,48,29,7,37,2,100,20,High
S1042,MAT204,I001,1.1,"Too many assignments, difficult to manage.",59,43,88,86,41,14,12,49,48,High
S1043,CSE202,I014,2.4,"Slides were unclear, needs more clarity.",91,62,37,81,42,8,3,100,34,High
S1044,CSE202,I016,4.1,Good explanations with real-life examples.,63,96,84,22,31,19,7,84,68,High
S1045,CSE101,I014,3.3,"Too many assignments, difficult to manage.",61,89,76,37,12,55,3,77,15,High
S1046,CSE202,I020,2.3,Great teaching style and support from instructor.,96,59,31,44,19,10,17,67,34,High
S1047,PHY110,I003,3.6,"Average experience, nothing special.",91,64,68,39,35,31,6,68,43,High
S1048,CSE202,I003,1.9,"Slides were unclear, needs more clarity.",79,69,74,77,42,9,10,21,66,High
S1049,MAT204,I009,1.1,Good explanations with real-life examples.,81,57,61,69,43,9,3,33,48,High
S1050,MAT204,I006,4.1,Good explanations with real-life examples.,81,81,94,98,36,22,12,36,36,Low
S1051,MAT204,I013,3.5,Very interactive and engaging class.,91,50,67,29,29,32,8,50,33,High
S1052,MAT204,I002,4.0,Good explanations with real-life examples.,81,68,40,40,9,39,8,29,56,Medium
S1053,PHY110,I008,1.2,"Too many assignments, difficult to manage.",75,56,39,48,30,26,18,89,55,High
S1054,ECE301,I002,4.3,"Average experience, nothing special.",100,65,88,29,24,38,2,56,52,High
S1055,CSE101,I004,3.5,"Too many assignments, difficult to manage.",50,95,84,32,28,8,11,83,60,High
S1056,MAT204,I015,3.3,"Slides were unclear, needs more clarity.",91,96,49,66,23,22,10,49,15,Medium
S1057,CSE202,I004,3.5,"Average experience, nothing special.",51,62,46,42,38,45,19,53,19,High
S1058,MAT204,I013,4.5,"Slides were unclear, needs more clarity.",66,95,97,69,20,55,10,37,56,Medium
S1059,CSE202,I012,3.3,Good explanations with real-life examples.,79,91,34,23,40,30,16,82,57,High
S1060,CSE202,I013,3.3,Great teaching style and support from instructor.,88,87,89,86,8,46,13,68,50,Medium
S1061,MAT204,I014,5.0,The lecture was clear but pace was fast.,56,59,52,72,41,26,15,75,61,High
S1062,PHY110,I020,4.0,"Average experience, nothing special.",76,84,75,21,41,51,9,77,54,High
